"","edad","p6_2"
"7",74,2
"9",23,1
"13",40,2
"14",22,2
"15",22,1
"17",28,2
"20",55,2
"21",30,2
"22",38,2
"25",39,2
"43",36,2
"44",55,2
"45",52,2
"53",20,1
"54",26,1
"57",22,2
"65",64,2
"66",40,2
"67",28,1
"72",35,2
"73",19,1
"74",45,2
"76",22,2
"89",22,2
"90",70,2
"91",44,2
"93",26,2
"98",42,2
"99",37,2
"100",51,1
"102",22,1
"103",77,1
"106",47,2
"108",22,2
"114",24,1
"115",31,1
"116",29,1
"118",29,2
"120",37,2
"121",30,1
"122",48,2
"123",63,1
"126",28,2
"127",36,2
"129",62,2
"130",37,2
"131",30,2
"133",62,2
"134",41,1
"135",36,1
"138",65,2
"143",28,1
"144",55,1
"146",41,2
"147",57,2
"149",32,2
"150",31,2
"152",55,2
"153",31,1
"154",52,2
"156",32,2
"158",45,2
"161",50,2
"164",43,2
"165",22,2
"168",43,2
"169",70,2
"171",88,2
"172",30,2
"178",62,2
"179",48,2
"181",56,2
"183",51,2
"184",38,2
"187",43,2
"188",60,1
"190",71,1
"194",57,2
"195",74,1
"197",50,2
"198",19,2
"200",30,2
"201",67,1
"209",41,2
"211",37,1
"212",36,1
"221",35,2
"224",37,1
"225",62,1
"232",52,2
"233",68,2
"235",20,1
"242",59,2
"245",40,2
"246",38,2
"247",20,1
"249",37,1
"250",81,2
"251",42,2
"252",29,2
"253",80,2
"254",20,2
"256",46,1
"258",52,2
"260",68,2
"262",51,1
"264",32,2
"268",30,1
"269",64,2
"270",33,1
"272",61,2
"273",26,1
"274",57,2
"275",57,1
"276",64,2
"279",21,1
"281",38,2
"282",47,1
"283",51,2
"284",48,2
"293",31,2
"295",42,2
"296",42,2
"299",70,2
"303",23,1
"304",20,2
"309",52,1
"310",19,1
"314",19,2
"315",45,2
"316",60,2
"317",76,2
"318",56,2
"321",61,2
"324",66,1
"325",54,2
"329",64,1
"336",32,2
"343",43,2
"345",31,2
"353",20,1
"357",54,2
"364",44,1
"365",53,2
"367",64,2
"368",31,2
"370",69,2
"376",37,2
"378",19,1
"384",58,2
"385",32,1
"387",58,2
"388",34,1
"393",31,1
"398",73,2
"403",47,2
"410",29,1
"418",19,2
"420",58,2
"425",37,2
"428",26,2
"435",58,2
"436",32,2
"445",36,2
"446",33,2
"447",65,2
"453",36,2
"461",19,1
"464",32,1
"466",40,2
"467",34,2
"479",62,2
"490",50,2
"503",19,1
"506",60,2
"509",69,2
"510",71,2
"513",67,2
"523",37,1
"539",27,2
"544",66,2
"546",48,2
"547",38,2
"548",52,2
"554",21,1
"558",57,2
"559",33,1
"562",20,1
"565",67,2
"568",19,1
"572",28,1
"576",71,2
"577",50,1
"578",40,2
"583",44,1
"585",49,1
"587",37,1
"588",54,2
"589",56,2
"592",21,1
"597",55,2
"600",25,1
"607",40,2
"610",43,2
"611",36,2
"619",32,2
"620",64,1
"621",61,2
"622",56,2
"623",40,2
"624",38,2
"628",39,2
"629",32,1
"630",57,2
"631",19,1
"634",59,1
"638",58,1
"640",46,2
"646",44,1
"651",54,2
"656",25,2
"658",27,2
"662",58,2
"663",41,2
"664",39,1
"668",42,2
"684",48,2
"685",31,2
"689",58,2
"690",23,1
"691",25,1
"694",67,2
"695",60,2
"696",19,1
"697",38,1
"699",50,2
"700",42,2
"701",66,2
"702",41,2
"703",30,2
"705",83,2
"708",19,1
"709",63,2
"710",62,2
"711",58,2
"712",35,1
"713",72,2
"714",66,2
"716",36,1
"717",76,2
"718",35,2
"724",37,2
"725",69,2
"727",64,1
"733",69,1
"736",58,2
"737",25,2
"738",32,1
"739",50,2
"745",44,2
"749",64,2
"750",32,2
"753",72,2
"756",42,2
"759",31,1
"761",26,1
"763",27,2
"764",29,1
"765",73,1
"767",31,2
"777",40,2
"778",28,2
"779",29,2
"782",23,2
"785",67,2
"787",42,1
"788",39,2
"790",50,1
"793",40,2
"795",24,2
"799",61,1
"800",23,1
"802",43,2
"807",58,1
"808",23,1
"810",49,2
"811",80,2
"812",47,2
"813",34,2
"814",22,2
"817",74,2
"818",24,1
"821",26,2
"822",76,1
"823",71,1
"824",29,2
"825",63,2
"827",23,2
"829",25,2
"830",62,1
"836",20,1
"837",32,2
"840",34,2
"842",50,2
"843",24,2
"845",31,2
"853",29,2
"854",79,1
"855",20,2
"856",44,2
"859",59,1
"862",43,2
"863",72,2
"867",24,2
"870",40,2
"871",43,2
"872",38,2
"875",26,1
