"","entidad","sexo","edad","nivel","p4","p7_3"
"13",1,1,40,7,3,500
"44",1,1,55,7,3,210
"57",2,1,22,4,2,500
"67",2,2,28,3,2,500
"72",2,2,35,4,2,400
"73",2,1,19,4,8,7500
"76",2,2,22,3,6,120
"89",3,2,22,7,3,500
"91",3,2,44,3,3,60
"93",3,1,26,7,2,800
"99",3,2,37,7,2,200
"106",3,2,47,7,3,700
"118",3,1,29,7,4,1200
"122",4,2,48,4,10,1500
"123",4,1,63,2,2,500
"129",4,2,62,2,1,200
"135",4,1,36,8,6,7000
"144",4,1,55,7,4,1000
"149",4,2,32,3,3,300
"152",4,1,55,7,8,3000
"156",4,2,32,7,6,800
"164",5,2,43,6,1,200
"165",5,2,22,2,2,800
"171",5,1,88,2,1,400
"179",5,2,48,2,1,120
"183",5,1,51,2,1,500
"187",5,2,43,7,1,150
"188",5,1,60,7,6,200
"197",5,2,50,3,1,125
"224",6,2,37,7,2,1300
"225",6,2,62,7,3,1800
"233",6,1,68,9,3,3500
"246",7,2,38,7,2,500
"250",7,1,81,2,1,200
"252",7,2,29,7,2,100
"254",7,2,20,4,4,800
"260",7,2,68,2,4,600
"268",7,2,30,4,3,1000
"274",7,1,57,4,3,900
"275",7,2,57,9,4,1200
"276",7,1,64,3,3,100
"279",7,2,21,4,2,300
"281",7,1,38,7,1,200
"282",7,2,47,6,3,300
"283",7,1,51,2,2,800
"303",8,1,23,7,4,5000
"309",8,1,52,7,15,4000
"314",8,2,19,4,2,250
"316",8,2,60,7,4,1500
"317",8,2,76,8,3,3000
"318",8,1,56,7,2,400
"324",8,1,66,3,1,20
"329",9,1,64,4,2,300
"336",9,1,32,7,2,1000
"353",9,1,20,4,2,500
"357",9,2,54,7,4,600
"367",9,2,64,6,2,600
"384",9,2,58,7,5,1300
"398",9,1,73,6,3,1200
"428",9,1,26,7,5,600
"435",9,2,58,8,1,100
"446",9,2,33,8,1,300
"461",9,2,19,4,14,500
"464",9,2,32,7,7,700
"503",9,2,19,4,3,800
"510",9,1,71,4,2,600
"513",9,2,67,9,7,600
"523",9,1,37,7,5,2000
